code_3L,libele,valeur,code_indicateur
URY,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
URY,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VNM,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
VUT,Accès électricité (% pop),61.6,EG.ELC.ACCS.ZS
VUT,Accès électricité (% pop),61.6,EG.ELC.ACCS.ZS
VUT,Accès électricité (% pop),61.6,EG.ELC.ACCS.ZS
WSM,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
ZWE,Accès électricité (% pop),62.0,EG.ELC.ACCS.ZS
AGO,Densité de population (hab/km²),29.4777460495709,EN.POP.DNST
BDI,Densité de population (hab/km²),533.078271028037,EN.POP.DNST
BGD,Densité de population (hab/km²),1319.17979689183,EN.POP.DNST
BWA,Densité de population (hab/km²),4.37641204806522,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CAN,Densité de population (hab/km²),4.56079784268436,EN.POP.DNST
CRI,Densité de population (hab/km²),99.9906972189581,EN.POP.DNST
CRI,Densité de population (hab/km²),99.9906972189581,EN.POP.DNST
CRI,Densité de population (hab/km²),99.9906972189581,EN.POP.DNST
CUB,Densité de population (hab/km²),106.165038535645,EN.POP.DNST
CUB,Densité de population (hab/km²),106.165038535645,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
FRA,Densité de population (hab/km²),126.862020595603,EN.POP.DNST
GAB,Densité de population (hab/km²),9.64329956921644,EN.POP.DNST
GHA,Densité de population (hab/km²),148.49676310689,EN.POP.DNST
GUY,Densité de population (hab/km²),3.91376811594203,EN.POP.DNST
HKG,Densité de population (hab/km²),7177.2380952381,EN.POP.DNST
KEN,Densité de population (hab/km²),95.2681371231706,EN.POP.DNST
KEN,Densité de population (hab/km²),95.2681371231706,EN.POP.DNST
KGZ,Densité de population (hab/km²),37.0164233576642,EN.POP.DNST
LKA,Densité de population (hab/km²),356.239896540576,EN.POP.DNST
LKA,Densité de population (hab/km²),356.239896540576,EN.POP.DNST
LKA,Densité de population (hab/km²),356.239896540576,EN.POP.DNST
LKA,Densité de population (hab/km²),356.239896540576,EN.POP.DNST
LSO,Densité de population (hab/km²),76.135441370224,EN.POP.DNST
LUX,Densité de population (hab/km²),258.862052624628,EN.POP.DNST
MCO,Densité de population (hab/km²),18692.8982725528,EN.POP.DNST
MDG,Densité de population (hab/km²),53.6196837401169,EN.POP.DNST
MDV,Densité de population (hab/km²),1765.08053691275,EN.POP.DNST
MOZ,Densité de population (hab/km²),42.7721457819375,EN.POP.DNST
MOZ,Densité de population (hab/km²),42.7721457819375,EN.POP.DNST
MWI,Densité de population (hab/km²),223.84898175647,EN.POP.DNST
NIC,Densité de population (hab/km²),56.702783779292,EN.POP.DNST
OMN,Densité de population (hab/km²),16.3142778675283,EN.POP.DNST
OMN,Densité de population (hab/km²),16.3142778675283,EN.POP.DNST
PAK,Densité de population (hab/km²),321.067474833956,EN.POP.DNST
PAK,Densité de population (hab/km²),321.067474833956,EN.POP.DNST
PAN,Densité de population (hab/km²),60.1072930709086,EN.POP.DNST
PAN,Densité de population (hab/km²),60.1072930709086,EN.POP.DNST
PHL,Densité de population (hab/km²),385.321122178623,EN.POP.DNST
PHL,Densité de population (hab/km²),385.321122178623,EN.POP.DNST
PHL,Densité de population (hab/km²),385.321122178623,EN.POP.DNST
PHL,Densité de population (hab/km²),385.321122178623,EN.POP.DNST
PLW,Densité de population (hab/km²),38.5369565217391,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRT,Densité de population (hab/km²),115.475189289738,EN.POP.DNST
PRY,Densité de population (hab/km²),17.282671943072,EN.POP.DNST
RWA,Densité de population (hab/km²),565.645358735306,EN.POP.DNST
SUR,Densité de population (hab/km²),3.91810706046897,EN.POP.DNST
SYC,Densité de population (hab/km²),260.376086956522,EN.POP.DNST
SYC,Densité de population (hab/km²),260.376086956522,EN.POP.DNST
TGO,Densité de population (hab/km²),171.067052767053,EN.POP.DNST
TON,Densité de population (hab/km²),145.273611111111,EN.POP.DNST
UKR,Densité de population (hab/km²),65.1239834311357,EN.POP.DNST
UKR,Densité de population (hab/km²),65.1239834311357,EN.POP.DNST
UKR,Densité de population (hab/km²),65.1239834311357,EN.POP.DNST
URY,Densité de population (hab/km²),19.3582504856588,EN.POP.DNST
URY,Densité de population (hab/km²),19.3582504856588,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VNM,Densité de population (hab/km²),320.175197572656,EN.POP.DNST
VUT,Densité de population (hab/km²),26.2845775225595,EN.POP.DNST
VUT,Densité de population (hab/km²),26.2845775225595,EN.POP.DNST
VUT,Densité de population (hab/km²),26.2845775225595,EN.POP.DNST
WSM,Densité de population (hab/km²),77.9363309352518,EN.POP.DNST
ZWE,Densité de population (hab/km²),42.24071862479,EN.POP.DNST
AGO,Pop. dans grandes agglomérations (%),25.2853327026197,EN.URB.MCTY.TL.ZS
BDI,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
BGD,Pop. dans grandes agglomérations (%),16.6733410319969,EN.URB.MCTY.TL.ZS
BWA,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CAN,Pop. dans grandes agglomérations (%),44.8021259828612,EN.URB.MCTY.TL.ZS
CRI,Pop. dans grandes agglomérations (%),28.6354292653547,EN.URB.MCTY.TL.ZS
CRI,Pop. dans grandes agglomérations (%),28.6354292653547,EN.URB.MCTY.TL.ZS
CRI,Pop. dans grandes agglomérations (%),28.6354292653547,EN.URB.MCTY.TL.ZS
CUB,Pop. dans grandes agglomérations (%),19.5003943309627,EN.URB.MCTY.TL.ZS
CUB,Pop. dans grandes agglomérations (%),19.5003943309627,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
