City,country,code_3L,month,temp_avg,temp_max,temp_min
Georgetown,guyana,GUY,6,27.4,30.0,24.6
Georgetown,guyana,GUY,7,27.7,30.7,24.5
Georgetown,guyana,GUY,8,28.4,31.3,24.8
Georgetown,guyana,GUY,9,29.2,31.9,25.3
Granada,nicaragua,NIC,1,27.0,32.7,22.0
Granada,nicaragua,NIC,10,27.2,31.8,23.4
Granada,nicaragua,NIC,11,26.9,31.7,23.2
Granada,nicaragua,NIC,12,26.8,32.0,22.2
Granada,nicaragua,NIC,2,27.5,33.4,22.1
Granada,nicaragua,NIC,3,28.6,34.5,23.0
Granada,nicaragua,NIC,4,29.8,35.4,24.3
Granada,nicaragua,NIC,5,29.1,34.4,25.0
Granada,nicaragua,NIC,6,27.6,32.2,24.2
Granada,nicaragua,NIC,7,27.6,32.7,24.1
Granada,nicaragua,NIC,8,27.8,32.8,24.0
Granada,nicaragua,NIC,9,27.6,32.8,23.8
Guimarães,portugal,PRT,1,10.4,14.2,7.1
Guimarães,portugal,PRT,10,17.1,21.2,13.7
Guimarães,portugal,PRT,11,13.8,17.1,10.7
Guimarães,portugal,PRT,12,12.1,15.6,9.2
Guimarães,portugal,PRT,2,11.7,15.6,8.2
Guimarães,portugal,PRT,3,13.0,16.9,9.8
Guimarães,portugal,PRT,4,14.3,18.2,10.6
Guimarães,portugal,PRT,5,16.5,20.3,12.8
Guimarães,portugal,PRT,6,18.0,21.7,14.5
Guimarães,portugal,PRT,7,19.8,24.0,15.9
Guimarães,portugal,PRT,8,19.5,24.0,15.6
Guimarães,portugal,PRT,9,18.8,23.3,14.9
Ha Long,vietnam,VNM,1,17.2,21.3,14.5
Ha Long,vietnam,VNM,10,24.8,28.5,21.6
Ha Long,vietnam,VNM,11,22.6,27.2,19.5
Ha Long,vietnam,VNM,12,17.8,22.2,14.4
Ha Long,vietnam,VNM,2,18.1,21.9,16.0
Ha Long,vietnam,VNM,3,21.1,24.6,19.2
Ha Long,vietnam,VNM,4,24.0,27.5,22.0
Ha Long,vietnam,VNM,5,27.4,30.9,24.5
